Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 (5-fold),Train Time (s)
breast_cancer,Logistic Regression,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,1.0,0.9283,0.048
breast_cancer,SVM (RBF Kernel),0.9649122807017544,1.0,0.9047619047619048,0.95,0.998015873015873,0.9386,0.029
breast_cancer,Random Forest,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9914021164021163,0.9376,0.869
breast_cancer,XGBoost,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9970238095238095,0.9349,0.12
breast_cancer,LightGBM,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9970238095238095,0.9347,0.056
breast_cancer,CatBoost,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9976851851851852,0.9363,0.518
heart,Logistic Regression,0.625,0.6086956521739131,0.7,0.6511627906976745,0.729375,0.6349,0.007
heart,SVM (RBF Kernel),0.6375,0.6122448979591837,0.75,0.6741573033707865,0.679375,0.6591,0.027
heart,Random Forest,0.6375,0.627906976744186,0.675,0.6506024096385542,0.660625,0.5965,0.531
heart,XGBoost,0.625,0.631578947368421,0.6,0.6153846153846154,0.6218750000000001,0.6113,0.176
heart,LightGBM,0.625,0.631578947368421,0.6,0.6153846153846154,0.6325000000000001,0.5837,0.056
heart,CatBoost,0.6875,0.6744186046511628,0.725,0.6987951807228916,0.6875,0.6336,0.119
diabetes,Logistic Regression,0.65,0.6190476190476191,0.78,0.6902654867256637,0.6679999999999999,0.6605,0.006
diabetes,SVM (RBF Kernel),0.63,0.6181818181818182,0.68,0.6476190476190476,0.662,0.663,0.03
diabetes,Random Forest,0.57,0.5614035087719298,0.64,0.5981308411214953,0.5923999999999999,0.6359,0.412
diabetes,XGBoost,0.56,0.5576923076923077,0.58,0.5686274509803921,0.614,0.6189,0.054
diabetes,LightGBM,0.55,0.5454545454545454,0.6,0.5714285714285714,0.5664000000000001,0.6096,0.084
diabetes,CatBoost,0.58,0.5714285714285714,0.64,0.6037735849056604,0.6348,0.6469,0.147
